0	1600	0	20000	400	2600
1600	3200	0	20000	400	2600
3200	4800	0	20000	400	2600
4800	6400	0	20000	400	2600
6400	8000	0	20000	400	2600
8000	9600	0	20000	400	2600
9600	11200	0	20000	400	2600
11200	12800	0	20000	400	2600
12800	14400	0	20000	400	2600
14400	16000	0	20000	400	2600
16000	17600	0	20000	400	2600
17600	19200	0	20000	400	2600
19200	20800	0	20000	400	2600
20800	22400	0	20000	400	2600
22400	24000	0	20000	400	2600
24000	25600	0	20000	400	2600
25600	27200	0	20000	400	2600
27200	28800	0	20000	400	2600
28800	30400	0	20000	400	2600
30400	32000	0	20000	400	2600
32000	33600	0	20000	400	2600
33600	35200	0	20000	400	2600
35200	36800	0	20000	400	2600
36800	38400	0	20000	400	2600
38400	40000	0	20000	400	2600
40000	41600	0	20000	400	2600
41600	43200	0	20000	400	2600
43200	44800	0	20000	400	2600
44800	46400	0	20000	400	2600
46400	48000	0	20000	400	2600
48000	49600	0	20000	400	2600
49600	51200	0	20000	400	2600
51200	52800	0	20000	400	2600
52800	54400	0	20000	400	2600
54400	56000	0	20000	400	2600
56000	57600	0	20000	400	2600
57600	59200	0	20000	400	2600
59200	60800	0	20000	400	2600
60800	62400	0	20000	400	2600
62400	64000	0	20000	400	2600
